5000 35000
submit 1151 1388
submit 1672 938
submit 2489 1247
submit 1881 6248
submit 1018 514
submit 354 1349
submit 90 1013
submit 352 1992
submit 486 3719
submit 704 3587
submit 1145 4590
submit 865 5209
submit 1848 426
submit 2490 5897
submit 1284 6169
submit 465 9721
submit 757 9944
submit 1742 9327
submit 397 5502
submit 1568 4049
submit 1223 9672
submit 833 9789
submit 2486 6100
submit 2259 8084
submit 1759 1970
submit 1113 4481
submit 2437 4652
submit 1885 1690
submit 1769 7273
submit 295 4479
submit 1174 5489
submit 850 2617
submit 2340 1479
submit 2295 6144
submit 1390 1353
submit 902 4545
submit 42 8049
submit 340 3912
submit 2122 9925
submit 2141 5550
submit 572 527
submit 1293 9077
submit 136 7237
submit 2170 7950
submit 1478 7570
submit 1715 5445
submit 1325 6599
submit 1666 6715
submit 62 1871
submit 2286 2639
submit 1535 4144
submit 734 9317
submit 1917 6508
submit 125 3444
submit 4 9798
submit 1531 4939
submit 1540 1864
submit 1011 9094
submit 897 3431
submit 1772 162
submit 2123 7174
submit 2467 6492
submit 2298 7260
submit 1666 4110
submit 2238 4162
submit 1262 3521
submit 178 3744
submit 1771 6436
submit 1759 9491
submit 1682 6383
submit 359 4518
submit 234 1555
submit 421 6932
submit 2002 4226
submit 1829 2265
submit 1190 2666
submit 2249 9662
submit 2168 4996
submit 1708 7396
submit 1931 4543
submit 339 5869
submit 700 7212
submit 612 5560
submit 650 8926
submit 2360 3179
submit 1848 9695
submit 1256 9892
submit 1788 1794
submit 14 7125
submit 1632 6891
submit 410 8246
submit 1686 3308
submit 764 23
submit 1355 3770
submit 2427 6136
submit 2237 5250
submit 1162 4343
submit 1790 3074
submit 2485 7934
submit 2473 5776
submit 2039 6910
submit 562 7418
submit 1230 3880
submit 42 8157
submit 2431 297
submit 1097 9138
submit 964 2353
submit 1214 8854
submit 457 6553
submit 2130 2607
submit 753 7497
submit 2415 5629
submit 801 9351
submit 2048 6827
submit 736 3753
submit 535 721
submit 1884 4396
submit 1195 7971
submit 1898 1096
submit 2329 7155
submit 2225 8114
submit 693 6485
submit 2294 5010
submit 297 4222
submit 943 3942
submit 1998 1298
submit 845 9064
submit 1737 5862
submit 327 4629
submit 1848 7605
submit 998 114
submit 1438 7267
submit 2398 2743
submit 2145 6429
submit 916 8172
submit 2366 481
submit 2125 6877
submit 481 4080
submit 1989 9098
submit 929 6448
submit 2493 2732
submit 307 1219
submit 317 6736
submit 1733 6783
submit 36 3078
submit 1565 6197
submit 1992 7624
submit 1542 8562
submit 2092 4987
submit 1027 5958
submit 2461 4752
submit 1125 731
submit 1953 9999
submit 891 2949
submit 1879 3835
submit 1999 4996
submit 1661 566
submit 775 3158
submit 91 5103
submit 1868 6808
submit 1280 2198
submit 2203 9502
submit 510 7310
submit 2055 7186
submit 1936 9458
submit 214 3407
submit 202 9455
submit 1817 5386
submit 1714 2988
submit 1721 7781
submit 1761 1074
submit 939 8141
submit 858 2385
submit 50 7354
submit 128 6181
submit 839 7179
submit 1730 1889
submit 1245 9334
submit 30 9403
submit 1777 7655
submit 1676 9460
submit 263 5454
submit 2337 3820
submit 199 7213
submit 1145 2326
submit 2383 9307
submit 1738 2487
submit 1262 6287
submit 418 6394
submit 42 5055
submit 1851 8906
submit 1013 8094
submit 788 5380
submit 1350 3336
submit 215 3466
submit 540 7992
submit 1512 7794
submit 1084 3967
submit 1688 4578
submit 1087 4185
submit 1119 4363
submit 1627 5753
submit 537 3023
submit 1208 1314
submit 705 9726
submit 1238 6184
submit 2208 1330
submit 1178 1506
submit 498 7884
submit 120 2013
submit 1351 9837
submit 2426 8099
submit 1809 338
submit 1715 6603
submit 265 8087
submit 402 1540
submit 1755 512
submit 2426 3897
submit 1020 3163
submit 658 4352
submit 455 5788
submit 627 2498
submit 1513 3821
submit 1858 8237
submit 2214 1259
submit 2381 8956
submit 2368 6591
submit 1531 574
submit 67 4054
submit 160 3221
submit 2136 2320
submit 1130 6395
submit 144 8701
submit 775 9007
submit 2070 5896
submit 984 484
submit 896 7730
submit 2321 7775
submit 1259 6253
submit 1996 6762
submit 2497 270
submit 675 3822
submit 1512 8816
submit 855 4678
submit 1140 5962
submit 1765 6994
submit 156 5591
submit 1109 3623
submit 795 9433
submit 2216 2562
submit 766 1188
submit 15 8945
submit 692 9955
submit 2493 9549
submit 2166 7389
submit 2281 3932
submit 261 4131
submit 1682 2174
submit 1031 9784
submit 381 6902
submit 1821 7238
submit 562 1224
submit 573 1145
submit 1301 2455
submit 2156 9347
submit 115 8035
submit 513 9476
submit 1331 5341
submit 2449 4982
submit 882 6099
submit 776 6303
submit 1499 9275
submit 1898 6170
submit 957 9173
submit 726 397
submit 588 4492
submit 336 6027
submit 1045 6320
submit 2322 2425
submit 2418 599
submit 279 804
submit 2261 3035
submit 75 7076
submit 1555 1259
submit 1354 1093
submit 1879 3231
submit 983 8745
submit 2286 4218
submit 946 1328
submit 2309 2236
submit 2088 905
submit 203 1357
submit 1947 6683
submit 562 9796
submit 2489 1362
submit 1351 8990
submit 814 8214
submit 280 9867
submit 780 3101
submit 581 7277
submit 1890 728
submit 2466 7133
submit 1164 7107
submit 1342 5150
submit 704 1825
submit 2330 4888
submit 1723 8704
submit 1466 4656
submit 1872 3474
submit 2239 6594
submit 1711 6966
submit 1990 2110
submit 616 3978
submit 1874 8284
submit 1799 2018
submit 893 6498
submit 1782 3522
submit 1734 772
submit 781 8180
submit 1591 6268
submit 323 7634
submit 1514 1043
submit 348 564
submit 1508 7536
submit 2481 3114
submit 1074 6785
submit 1612 4643
submit 2142 5981
submit 922 9257
submit 2147 6099
submit 1426 6791
submit 1461 5925
submit 2015 2693
submit 663 3936
submit 1922 8036
submit 2472 9031
submit 1944 3405
submit 2041 1415
submit 1529 3022
submit 179 2624
submit 1001 5600
submit 1066 3689
submit 1424 1981
submit 1452 7459
submit 1771 914
submit 1642 6571
submit 2481 1571
submit 1752 629
submit 1655 7525
submit 953 1349
submit 1155 4507
submit 1089 865
submit 683 5916
submit 511 2079
submit 181 6334
submit 1880 128
submit 121 7640
submit 682 2365
submit 926 3318
submit 112 5387
submit 38 8173
submit 2453 4974
submit 1434 9484
submit 2422 6807
submit 437 1234
submit 1248 1762
submit 1597 4879
submit 133 5401
submit 2033 6059
submit 2066 4594
submit 1651 5296
submit 1171 4194
submit 2001 8491
submit 2416 6467
submit 2318 484
submit 1175 6190
submit 1761 888
submit 2030 8842
submit 970 3236
submit 1660 84
submit 946 3540
submit 1381 3346
submit 1578 2583
submit 795 3182
submit 1639 898
submit 489 4558
submit 867 5540
submit 2375 1258
submit 2325 27
submit 1408 5300
submit 2389 6064
submit 288 70
submit 2245 4562
submit 590 6238
submit 1898 5847
submit 1960 3160
submit 2010 1410
submit 553 7532
submit 1087 8093
submit 2472 3884
submit 1770 4776
submit 783 2625
submit 55 9197
submit 1033 2369
submit 2371 3494
submit 2178 7052
submit 233 5106
submit 1865 1251
submit 2040 8656
submit 1677 9229
submit 632 3534
submit 1156 8347
submit 1601 2279
submit 520 1271
submit 1679 8642
submit 2192 6477
submit 564 2179
submit 2411 1631
submit 482 4651
submit 300 7848
submit 391 9530
submit 912 1487
submit 1522 648
submit 768 136
submit 468 9803
submit 751 8059
submit 517 602
submit 930 2864
submit 2399 5625
submit 62 4978
submit 1218 1857
submit 1916 4230
submit 2138 7215
submit 1672 3453
submit 872 8755
submit 1426 7658
submit 1440 7488
submit 1569 9105
submit 1803 9813
submit 2070 4147
submit 161 9106
submit 2366 5019
submit 1299 8783
submit 838 7385
submit 1410 3806
submit 1974 6478
submit 1399 1438
submit 1873 886
submit 1962 6417
submit 1001 8120
submit 2329 3422
submit 890 793
submit 1000 228
submit 1900 6697
submit 453 4056
submit 1838 702
submit 2124 6181
submit 611 3867
submit 1847 182
submit 81 6469
submit 214 5555
submit 2327 7005
submit 727 1333
submit 2259 7967
submit 2490 8532
submit 1737 1015
submit 2369 540
submit 1699 8790
submit 1877 1221
submit 1312 2209
submit 944 8234
submit 613 2144
submit 809 1013
submit 3 4973
submit 1638 4976
submit 220 1615
submit 1565 9952
submit 1040 5856
submit 1952 928
submit 2104 9680
submit 1487 2232
submit 689 5304
submit 976 5894
submit 1309 3876
submit 1431 3441
submit 495 7399
submit 2070 6359
submit 656 6444
submit 99 2088
submit 1879 9642
submit 19 3855
submit 2403 5483
submit 229 4351
submit 1751 2576
submit 488 7860
submit 696 994
submit 2388 5002
submit 340 2533
submit 2189 4286
submit 935 3870
submit 896 8254
submit 108 1379
submit 2091 1064
submit 1734 2367
submit 1914 6355
submit 230 7765
submit 449 8335
submit 2385 4148
submit 2090 7124
submit 2215 8295
submit 2485 6607
submit 1353 5308
submit 2212 690
submit 1687 4507
submit 545 753
submit 1884 4961
submit 1176 7383
submit 1980 2700
submit 849 8950
submit 1404 8252
submit 367 7349
submit 60 4376
submit 495 2102
submit 1315 4125
submit 94 7369
submit 242 5780
submit 887 532
submit 918 6693
submit 1801 7245
submit 506 1828
submit 147 1861
submit 2341 8681
submit 238 8436
submit 2393 4753
submit 402 2437
submit 666 2218
submit 1748 6280
submit 1537 8297
submit 1668 2585
submit 2457 3089
submit 2068 7219
submit 1151 3815
submit 1242 2620
submit 1438 6921
submit 2150 2199
submit 1868 5731
submit 1063 4741
submit 543 1936
submit 545 1443
submit 851 4589
submit 975 4774
submit 2283 4661
submit 2331 8736
submit 865 5889
submit 1922 5066
submit 664 1120
submit 1362 6174
submit 1634 1863
submit 950 1596
submit 2049 9146
submit 1013 1283
submit 1949 432
submit 58 8056
submit 983 1611
submit 1599 132
submit 432 4896
submit 1468 2922
submit 1277 7523
submit 1969 6944
submit 1618 2342
submit 2060 2394
submit 1023 1917
submit 1045 5245
submit 1385 2499
submit 1703 8395
submit 628 1604
submit 435 9198
submit 329 6323
submit 1411 7204
submit 1324 2238
submit 1357 4285
submit 1784 9825
submit 671 8611
submit 291 1903
submit 1911 7813
submit 1956 5467
submit 1569 5389
submit 1606 5258
submit 1037 4546
submit 1359 7740
submit 658 4819
submit 1477 806
submit 2167 1539
submit 887 8095
submit 636 1064
submit 534 496
submit 70 5377
submit 2061 2573
submit 1980 5927
submit 671 8066
submit 1712 5934
submit 2177 5796
submit 525 924
submit 489 8063
submit 407 1817
submit 660 5539
submit 1084 2506
submit 351 1411
submit 816 4522
submit 1883 7523
submit 1746 7793
submit 1435 4104
submit 2195 8177
submit 1823 3491
submit 2225 980
submit 1070 6414
submit 1589 9301
submit 137 9775
submit 569 4306
submit 1439 9106
submit 2098 9904
submit 481 4178
submit 238 6211
submit 1236 2299
submit 2322 1789
submit 37 3620
submit 509 5160
submit 1072 9056
submit 1931 8325
submit 739 450
submit 684 4359
submit 368 5787
submit 2265 9393
submit 176 6612
submit 166 3459
submit 587 917
submit 733 7224
submit 1597 247
submit 1220 9622
submit 2428 5759
submit 2308 4905
submit 1704 8158
submit 1941 673
submit 73 7377
submit 2454 5512
submit 1216 845
submit 651 8621
submit 1839 19
submit 1906 7939
submit 2249 5579
submit 765 1612
submit 1172 3221
submit 220 705
submit 2047 6278
submit 623 2332
submit 989 4774
submit 781 3014
submit 581 8469
submit 811 2424
submit 1714 1995
submit 595 2631
submit 2307 2423
submit 1288 1977
submit 764 955
submit 1997 2508
submit 132 81
submit 1045 7450
submit 2330 7922
submit 1578 3233
submit 729 4231
submit 2000 2327
submit 514 652
submit 1958 7825
submit 1837 547
submit 1233 7843
submit 1517 8077
submit 1239 8523
submit 1655 3297
submit 844 5573
submit 579 2207
submit 396 1763
submit 2403 6714
submit 1763 3414
submit 2303 3393
submit 223 4908
submit 1797 8181
submit 1042 5995
submit 2490 3707
submit 524 7013
submit 782 5771
submit 1573 2503
submit 437 204
submit 2403 4684
submit 830 5140
submit 2016 6422
submit 163 8360
submit 1001 4286
submit 2335 5068
submit 1357 5133
submit 898 39
submit 469 3844
submit 1137 7634
submit 1188 3888
submit 1038 190
submit 1443 4517
submit 1092 4666
submit 2379 4473
submit 1993 1105
submit 1837 5668
submit 916 4447
submit 1255 8276
submit 17 2306
submit 671 7107
submit 767 3934
submit 2242 3395
submit 1853 6751
submit 841 3049
submit 528 9434
submit 704 2636
submit 1092 1640
submit 1169 7451
submit 1659 3203
submit 1043 9651
submit 1843 7330
submit 711 5605
submit 1907 5508
submit 2276 4853
submit 1237 4425
submit 129 5340
submit 559 1322
submit 1442 8019
submit 307 819
submit 1603 9723
submit 1006 5019
submit 1260 355
submit 1409 2175
submit 2339 8971
submit 1518 2853
submit 479 9307
submit 1085 3444
submit 2259 1521
submit 872 4281
submit 2078 9950
submit 2120 610
submit 1465 6478
submit 384 5400
submit 552 5869
submit 1980 8403
submit 1963 9711
submit 1324 6517
submit 1159 3653
submit 1267 1033
submit 155 7590
submit 1820 7078
submit 2254 7860
submit 1111 7429
submit 757 4241
submit 1970 6720
submit 605 1176
submit 964 3568
submit 2219 1032
submit 105 3406
submit 1935 4717
submit 1235 5098
submit 762 1118
submit 1240 2823
submit 1330 8335
submit 212 140
submit 299 6173
submit 20 2457
submit 112 182
submit 469 9419
submit 139 595
submit 776 222
submit 1001 8781
submit 1565 1616
submit 2398 3878
submit 413 3038
submit 2166 9827
submit 908 3184
submit 1530 7104
submit 1696 8366
submit 1051 3611
submit 209 5956
submit 2344 3185
submit 667 5869
submit 1772 657
submit 1549 3463
submit 2203 1607
submit 421 8635
submit 1349 8203
submit 333 6102
submit 1928 7439
submit 2204 3156
submit 518 7469
submit 333 1604
submit 2255 8127
submit 1989 6749
submit 2151 6434
submit 499 9933
submit 230 4899
submit 2133 8306
submit 2097 7895
submit 2419 7188
submit 1347 7185
submit 513 1857
submit 880 6945
submit 538 2942
submit 1919 8206
submit 120 9646
submit 183 4677
submit 1725 7590
submit 994 4423
submit 1241 9268
submit 987 414
submit 2070 6476
submit 1772 7216
submit 2469 2859
submit 1862 9600
submit 47 3494
submit 806 7085
submit 543 87
submit 2127 8170
submit 1394 2137
submit 930 5603
submit 1373 7898
submit 1087 6217
submit 2482 8158
submit 809 876
submit 979 1493
submit 428 8071
submit 1640 2002
submit 1142 5564
submit 1696 8567
submit 1669 9501
submit 1205 7446
submit 1342 115
submit 372 5219
submit 2292 4844
submit 101 1364
submit 1881 7640
submit 94 7679
submit 2192 6339
submit 635 1261
submit 2198 2973
submit 196 3761
submit 211 8870
submit 867 9740
submit 1543 9866
submit 2340 1777
submit 1390 2964
submit 1001 1941
submit 1647 258
submit 367 4445
submit 2397 201
submit 688 8881
submit 945 1894
submit 2365 4765
submit 277 2982
submit 371 8810
submit 1148 5076
submit 1393 3802
submit 309 2363
submit 943 4518
submit 2291 5947
submit 1851 1409
submit 1689 8852
submit 463 1089
submit 2235 7204
submit 2325 6
submit 1291 1038
submit 1670 4893
submit 827 6313
submit 1975 4447
submit 1865 9358
submit 859 2642
submit 2387 3954
submit 675 5425
submit 384 7639
submit 2206 7885
submit 1087 8941
submit 306 7274
submit 405 9188
submit 2366 2075
submit 1987 1579
submit 916 8399
submit 2469 9327
submit 1754 6491
submit 737 5458
submit 1258 3633
submit 2086 1077
submit 865 7277
submit 1812 369
submit 1267 3753
submit 52 3044
submit 2331 5158
submit 1351 7325
submit 1656 2653
submit 1684 1585
submit 195 259
submit 2348 3545
submit 622 4627
submit 216 3661
submit 61 7464
submit 752 6305
submit 1599 8712
submit 1998 5483
submit 2033 7422
submit 1492 7792
submit 1686 9763
submit 760 7847
submit 1999 4614
submit 271 1550
submit 2022 6080
submit 1540 4818
submit 2460 4758
submit 1075 9351
submit 1984 5574
submit 2074 3824
submit 1296 891
submit 1887 2416
submit 485 4907
submit 2265 7470
submit 132 5641
submit 1468 8786
submit 523 7167
submit 2005 8157
submit 1803 9449
submit 1749 2358
submit 346 133
submit 165 3646
submit 1470 3647
submit 1759 1694
submit 168 2944
submit 2223 8506
submit 681 674
submit 709 6128
submit 684 7063
submit 1052 6057
submit 363 7977
submit 376 7438
submit 1896 1269
submit 2307 589
submit 2478 8607
submit 1388 6507
submit 2180 4225
submit 1041 4362
submit 261 161
submit 2087 8916
submit 2033 5880
submit 180 1841
submit 895 9244
submit 1803 9144
submit 1879 8079
submit 2475 342
submit 555 6858
submit 26 194
submit 2356 8013
submit 214 6842
submit 2056 8105
submit 970 5142
submit 303 675
submit 1247 4508
submit 717 1963
submit 328 3265
submit 834 6325
submit 1153 7634
submit 124 4261
submit 1012 3200
submit 1109 3234
submit 1667 9650
submit 384 5528
submit 1820 6649
submit 1829 5687
submit 2209 8537
submit 339 3992
submit 1665 4588
submit 2419 3089
submit 531 1573
submit 2332 4111
submit 1955 1420
submit 1699 642
submit 1046 4670
submit 2029 3638
submit 1299 7193
submit 1998 6830
submit 1830 7966
submit 591 1060
submit 842 2019
submit 1912 9331
submit 1030 9970
submit 335 8541
submit 1434 6897
submit 2111 8918
submit 1072 2608
submit 1144 4643
submit 1428 6617
submit 1865 1225
submit 928 2036
submit 1950 8579
submit 2288 6945
submit 2326 4403
submit 609 1898
submit 1063 4470
submit 227 2960
submit 1335 7118
submit 394 788
submit 1101 3128
submit 2164 290
submit 347 8664
submit 118 8647
submit 813 8122
submit 939 7284
submit 1968 468
submit 1592 7457
submit 2278 6408
submit 1839 7264
submit 1892 2912
submit 1073 5235
submit 515 2629
submit 2471 8355
submit 1301 8853
submit 1583 1917
submit 1349 8919
submit 716 7481
submit 1702 7909
submit 445 4725
submit 69 8466
submit 479 2010
submit 815 3823
submit 1756 5266
submit 1218 8820
submit 1565 7913
submit 2437 6706
submit 544 5456
submit 1895 6877
submit 1713 9592
submit 14 4622
submit 2212 9210
submit 566 1587
submit 1280 4288
submit 1060 3381
submit 416 132
submit 623 9770
submit 576 1369
submit 2182 8737
submit 213 8081
submit 1759 2073
submit 455 4927
submit 47 9237
submit 2326 3938
submit 1735 3826
submit 1923 3888
submit 1664 5794
submit 531 2376
submit 1650 3598
submit 740 9656
submit 2377 8052
submit 1437 1639
submit 228 2220
submit 37 861
submit 1212 6035
submit 841 4927
submit 882 9110
submit 1683 3349
submit 243 1238
submit 209 1291
submit 2295 8580
submit 1314 6820
submit 1109 4250
submit 981 7042
submit 1194 3583
submit 1303 5977
submit 1686 5897
submit 218 8979
submit 441 8379
submit 1732 6605
submit 2180 9309
submit 1686 1825
submit 2465 9091
submit 1441 99
submit 825 617
submit 1075 5300
submit 708 5990
submit 21 528
submit 760 9100
submit 1365 6494
submit 120 6952
submit 1238 5093
submit 1408 5186
submit 342 9136
submit 71 4903
submit 731 914
submit 862 6307
submit 127 7017
submit 1976 5786
submit 2060 1860
submit 1819 8492
submit 1545 9150
submit 513 8880
submit 799 2346
submit 1980 4
submit 58 8890
submit 934 1690
submit 2420 9838
submit 760 9608
submit 765 795
submit 385 7397
submit 1011 2362
submit 409 8398
submit 809 3165
submit 759 4928
submit 15 6642
submit 2214 2316
submit 1160 1270
submit 2221 5532
submit 417 9676
submit 476 3953
submit 1877 7501
submit 1011 3234
submit 1659 7011
